CLK_FREQ_SEL, MDIV_MSB, MDIV_LSB, NDIV, KDIV, BIOZ_DAC_OSR, BIOZ_ADC_OSR, I_COEF, Q_COEF, I_PHASE_COEF, Q_PHASE_COEF, I_OFFSET, Q_OFFSET
1, 2, 88, 0, 4, 2, 7, 0.930568458, 0.930687605, -9.826755357, -9.851755411, -490.53125, -252.28125
1, 2, 96, 0, 4, 2, 7, 0.932555744, 0.930772582, -9.634916042, -9.457790857, -489.25, -228.953125
1, 2, 104, 0, 4, 2, 7, 0.932145969, 0.932135817, -9.520373543, -9.543691993, -489.203125, -228.09375
1, 2, 112, 0, 4, 2, 7, 0.931365023, 0.932696017, -9.278897991, -9.252403688, -465.5, -248.171875
1, 2, 120, 0, 4, 2, 7, 0.932710678, 0.933377442, -9.287905633, -9.275317654, -487.359375, -226.265625
1, 2, 128, 0, 4, 2, 7, 0.932421319, 0.933469693, -9.042839434, -9.168809517, -462.59375, -224.46875
1, 2, 136, 0, 4, 2, 7, 0.931918879, 0.933649754, -8.936835298, -9.058588888, -485.625, -223.84375
1, 2, 144, 0, 4, 2, 7, 0.933841603, 0.931896324, -8.97886753, -8.98537524, -485.140625, -245.984375
1, 2, 152, 0, 4, 2, 7, 0.93268609, 0.933579241, -8.887840322, -8.663326483, -460.046875, -243.09375
1, 2, 160, 0, 4, 2, 7, 0.933605473, 0.933370425, -8.820183106, -8.724360841, -457.328125, -219.234375
1, 2, 168, 0, 4, 2, 7, 0.933001368, 0.933799578, -8.651767312, -8.673158732, -482.8125, -242.578125
1, 2, 176, 0, 4, 2, 7, 0.932114069, 0.932694871, -8.413335366, -8.594593541, -456.640625, -240.328125
1, 2, 184, 0, 4, 2, 7, 0.932947437, 0.933530149, -8.543159027, -8.528694632, -455.609375, -241.78125
1, 2, 192, 0, 4, 2, 7, 0.934804924, 0.932532334, -8.386481296, -8.217275458, -479, -239.203125
1, 2, 200, 0, 4, 2, 7, 0.932503155, 0.93387066, -8.080985728, -8.093563891, -480.15625, -210.65625
1, 2, 208, 0, 4, 2, 7, 0.932620173, 0.933987597, -7.98327059, -7.958792065, -479.421875, -191.734375
1, 2, 216, 0, 4, 2, 7, 0.932303087, 0.934422435, -7.99044642, -7.898573334, -448.171875, -261.25
1, 2, 224, 0, 4, 2, 7, 0.933743724, 0.935041882, -7.802175729, -8.025196561, -459.859375, -310.984375
1, 2, 232, 0, 4, 2, 7, 0.932416743, 0.935178435, -7.816043907, -7.770888064, -466.34375, -373.453125
1, 2, 240, 0, 4, 2, 7, 0.934323798, 0.934514415, -7.670350975, -7.609949462, -538.8125, -349.078125
1, 2, 248, 0, 4, 2, 7, 0.932727135, 0.93467158, -7.65324186, -7.830409423, -584.203125, -366.90625
1, 3, 0, 0, 4, 2, 7, 0.935122275, 0.935991733, -7.717927464, -7.745788891, -622.375, -360.875
1, 2, 0, 0, 3, 2, 7, 0.877486278, 1.069830945, 1.761843376, 10.79878637, 534.890625, 5257.5
1, 2, 8, 0, 3, 2, 7, 0.93552415, 0.764941003, 4.97976481, -6.891166848, -1524.890625, -5760.78125
1, 2, 16, 0, 3, 2, 7, 0.878031726, 1.071260357, 1.872900243, 10.9041182, 540.21875, 5274.8125
1, 2, 24, 0, 3, 2, 7, 0.968986824, 1.111983616, -15.81733563, -4.554870825, 553.703125, 5336.640625
1, 2, 32, 0, 3, 2, 7, 0.936885356, 0.763899278, 5.262406674, -6.662831865, -1530.71875, -5808.59375
1, 2, 40, 0, 3, 2, 7, 0.968668512, 1.109653461, -15.60836065, -4.543577796, 538.046875, 5243.53125
1, 2, 48, 0, 3, 2, 7, 0.915861388, 1.056654329, -16.44023705, -4.608755354, 548.734375, 5294.328125
1, 2, 56, 0, 3, 2, 7, 0.915619117, 1.056883844, -16.33104539, -4.499927951, 550.53125, 5299.515625
1, 2, 64, 0, 3, 2, 7, 0.968231694, 1.111046202, -15.40154515, -4.287995635, 547.90625, 5286.84375
1, 2, 72, 0, 3, 2, 7, 0.934402437, 1.127028373, 2.198114931, 10.69760593, 545.65625, 5262.59375
1, 2, 80, 0, 3, 2, 7, 0.968196641, 1.110482569, -15.26423, -4.235364041, 543.671875, 5254.59375
1, 2, 88, 0, 3, 2, 7, 1.009202187, 0.897958844, -11.44364216, -24.53771751, -1513.578125, -5737.359375
1, 2, 96, 0, 3, 2, 7, 0.91491032, 1.058347768, -16.0516994, -4.185295425, 564.171875, 5346.09375
1, 2, 104, 0, 3, 2, 7, 0.880590865, 1.076385117, 2.684662741, 11.56159881, 555.25, 5304.21875
1, 2, 112, 0, 3, 2, 7, 0.915100939, 1.057450795, -15.94034201, -4.180465938, 556.140625, 5301.5
1, 2, 120, 0, 3, 2, 7, 0.940064683, 0.765180116, 6.0004352, -5.677138966, -1518.4375, -5772.28125
1, 2, 128, 0, 3, 2, 7, 0.994575209, 0.8211518, 5.636460303, -5.220827265, -1508.46875, -5720.421875
1, 2, 136, 0, 3, 2, 7, 1.009240612, 0.895857651, -11.09768841, -24.28135235, -1518.140625, -5776.109375
1, 2, 144, 0, 3, 2, 7, 0.941079022, 0.765098861, 6.171461411, -5.49717246, -1519.59375, -5784.03125
1, 2, 152, 0, 3, 2, 7, 0.881716634, 1.079372182, 3.036213006, 11.87340384, 567.375, 5340.671875
1, 2, 160, 0, 3, 2, 7, 0.995837616, 0.820438143, 5.906796084, -4.976490441, -1511.609375, -5756.140625
1, 2, 168, 0, 3, 2, 7, 1.008561803, 0.894685022, -10.81196036, -23.87746628, -1508.578125, -5733.71875
1, 2, 176, 0, 3, 2, 7, 0.996354337, 0.8206044, 6.003591259, -4.847325494, -1510.8125, -5754.703125
1, 2, 184, 0, 3, 2, 7, 0.942303263, 0.766072879, 6.485161328, -5.022411681, -1510.4375, -5750.78125
1, 2, 192, 0, 3, 2, 7, 0.996782801, 0.820710568, 6.094936561, -4.731628839, -1509.578125, -5752.09375
1, 2, 200, 0, 3, 2, 7, 0.967372893, 1.113577569, -14.48771481, -3.474812014, 567.1875, 5322.375
1, 2, 208, 0, 3, 2, 7, 0.938545643, 1.133003685, 3.193667088, 11.46628568, 559.078125, 5288.984375
1, 2, 216, 0, 3, 2, 7, 0.954563971, 0.843539886, -11.17886266, -25.15684446, -1503.09375, -5775.9375
1, 2, 224, 0, 3, 2, 7, 0.998164207, 0.820780474, 6.254220677, -4.593869995, -1495.609375, -5879.625
1, 2, 232, 0, 3, 2, 7, 0.938425076, 1.135740564, 3.320893245, 11.65138227, 555.265625, 5194.609375
1, 2, 240, 0, 3, 2, 7, 0.913633265, 1.05928584, -15.19465271, -3.495052682, 483.265625, 5194.921875
1, 2, 248, 0, 3, 2, 7, 0.966691757, 1.114242833, -14.21113968, -3.199785694, 438.90625, 5204.78125
1, 3, 0, 0, 3, 2, 7, 0.9669726, 1.114608875, -14.19283712, -3.190680187, 428.796875, 5213
1, 2, 0, 0, 2, 2, 7, 0.939055244, 0.940967063, -2.834737238, -2.734191518, -530.484375, -271.03125
1, 2, 8, 0, 2, 2, 7, 0.939105646, 0.941579222, -2.786151166, -2.679572434, -529.640625, -254.515625
1, 2, 16, 0, 2, 2, 7, 0.939399636, 0.941328354, -2.740904984, -2.634722297, -529.109375, -266.984375
1, 2, 24, 0, 2, 2, 7, 0.939542618, 0.941501502, -2.698952026, -2.596623777, -527.578125, -264.765625
1, 2, 32, 0, 2, 2, 7, 0.939708831, 0.94166327, -2.656391847, -2.552623048, -526.984375, -263.078125
1, 2, 40, 0, 2, 2, 7, 0.939792778, 0.942153085, -2.610617081, -2.481239407, -527.734375, -246.625
1, 2, 48, 0, 2, 2, 7, 0.939957709, 0.941966864, -2.571069955, -2.47041767, -527.390625, -259.0625
1, 2, 56, 0, 2, 2, 7, 0.940136488, 0.942527031, -2.53230846, -2.40617645, -526.65625, -242.265625
