,I,Q
226,22.43420410943505,-10.256057598146743
227,22.42560156721353,-10.259597483483644
228,22.42560156721353,-10.259597483483644
229,22.43420410943505,-10.256057598146743
230,22.43420410943505,-10.256057598146743
231,22.446375381500953,-10.261088654495714
232,22.452461017533903,-10.2636041826702
233,22.43777283927943,-10.264628539832614
234,22.41951593118058,-10.25708195530916
235,22.40734465911468,-10.25205089896019
236,22.40231084673753,-10.26416172598296
237,22.405879576581906,-10.27273266766883
238,22.42560156721353,-10.259597483483644
239,22.4392379218122,-10.243946771123973
240,22.44427173418935,-10.231835944101203
241,22.441754828000775,-10.237891357612588
242,22.43063537959068,-10.247486656460874
243,22.436721015623625,-10.250002184635358
244,22.451409193878103,-10.248977827472944
245,22.448892287689528,-10.255033240984329
246,22.440289745468004,-10.25857312632123
247,22.43777283927943,-10.264628539832614
248,22.446375381500953,-10.261088654495714
249,22.440289745468004,-10.25857312632123
250,22.423084661024955,-10.265652896995029
251,22.416999024992005,-10.263137368820544
252,22.42560156721353,-10.259597483483644
253,22.428118473402105,-10.253542069972259
254,22.42560156721353,-10.259597483483644
255,22.410913388959056,-10.26062184064606
256,22.404827752926106,-10.258106312471575
257,22.41951593118058,-10.25708195530916
258,22.43420410943505,-10.256057598146743
259,22.440289745468004,-10.25857312632123
260,22.436721015623625,-10.250002184635358
261,22.42454974355773,-10.24497112828639
262,22.420981013713355,-10.236400186600518
263,22.420981013713355,-10.236400186600518
264,22.41846410752478,-10.242455600111905
265,22.428118473402105,-10.253542069972259
266,22.429170297057905,-10.268168425169513
267,22.426653390869326,-10.274223838680898
268,22.435255933090858,-10.270683953344
269,22.429170297057905,-10.268168425169513
270,22.41951593118058,-10.25708195530916
271,22.420981013713355,-10.236400186600518
272,22.41237847149183,-10.239940071937419
273,22.40734465911468,-10.25205089896019
274,22.40231084673753,-10.26416172598296
275,22.405879576581906,-10.27273266766883
276,22.399793940548957,-10.270217139494346
277,22.404827752926106,-10.258106312471575
278,22.431687203246476,-10.262113011658128
279,22.449944111345328,-10.269659596181585
280,22.454977923722478,-10.257548769158815
281,22.448892287689528,-10.255033240984329
282,22.436721015623625,-10.250002184635358
283,22.433152285779254,-10.241431242949488
284,22.422032837369155,-10.251026541797774
285,22.423084661024955,-10.265652896995029
286,22.442393392779607,-10.28782583671574
287,22.43882466293523,-10.279254895029869
288,22.41343029514763,-10.254566427134675
289,22.409861565303256,-10.245995485448804
290,22.42454974355773,-10.24497112828639
291,22.42454974355773,-10.24497112828639
292,22.422032837369155,-10.251026541797774
293,22.41343029514763,-10.254566427134675
294,22.410913388959056,-10.26062184064606
295,22.416999024992005,-10.263137368820544
296,22.43777283927943,-10.264628539832614
297,22.43777283927943,-10.264628539832614
298,22.43777283927943,-10.264628539832614
299,22.446375381500953,-10.261088654495714
300,22.448892287689528,-10.255033240984329
301,22.436721015623625,-10.250002184635358
302,22.42454974355773,-10.24497112828639
303,22.415947201336206,-10.24851101362329
304,22.410913388959056,-10.26062184064606
305,22.404827752926106,-10.258106312471575
306,22.404827752926106,-10.258106312471575
307,22.40839648277048,-10.266677254157445
308,22.405879576581906,-10.27273266766883
309,22.40839648277048,-10.266677254157445
310,22.41448211880343,-10.26919278233193
311,22.426653390869326,-10.274223838680898
312,22.431687203246476,-10.262113011658128
313,22.446375381500953,-10.261088654495714
314,22.453512841189703,-10.278230537867454
315,22.435255933090858,-10.270683953344
316,22.40734465911468,-10.25205089896019
317,22.395173387048782,-10.24701984261122
318,22.410913388959056,-10.26062184064606
319,22.423084661024955,-10.265652896995029
320,22.42454974355773,-10.24497112828639
321,22.420981013713355,-10.236400186600518
322,22.41846410752478,-10.242455600111905
323,22.431687203246476,-10.262113011658128
324,22.43777283927943,-10.264628539832614
325,22.43420410943505,-10.256057598146743
326,22.428118473402105,-10.253542069972259
327,22.43420410943505,-10.256057598146743
328,22.431687203246476,-10.262113011658128
329,22.423084661024955,-10.265652896995029
330,22.404827752926106,-10.258106312471575
331,22.409861565303256,-10.245995485448804
332,22.423497919901926,-10.230344773089133
333,22.43461736831203,-10.220749474240849
334,22.433152285779254,-10.241431242949488
335,22.428118473402105,-10.253542069972259
336,22.41951593118058,-10.25708195530916
337,22.422032837369155,-10.251026541797774
338,22.428118473402105,-10.253542069972259
339,22.41343029514763,-10.254566427134675
340,22.41343029514763,-10.254566427134675
341,22.41951593118058,-10.25708195530916
342,22.422032837369155,-10.251026541797774
343,22.404827752926106,-10.258106312471575
344,22.411965212614856,-10.275248195843314
345,22.435255933090858,-10.270683953344
346,22.43420410943505,-10.256057598146743
347,22.416999024992005,-10.263137368820544
348,22.40839648277048,-10.266677254157445
349,22.42056775483638,-10.271708310506414
350,22.431687203246476,-10.262113011658128
351,22.436721015623625,-10.250002184635358
352,22.43063537959068,-10.247486656460874
353,22.43420410943505,-10.256057598146743
354,22.435255933090858,-10.270683953344
355,22.431687203246476,-10.262113011658128
356,22.435669191967825,-10.235375829438103
357,22.438186098156404,-10.229320415926718
358,22.447840464033728,-10.240406885787072
359,22.44280665165658,-10.252517712809844
360,22.436721015623625,-10.250002184635358
361,22.43063537959068,-10.247486656460874
362,22.41951593118058,-10.25708195530916
363,22.41448211880343,-10.26919278233193
364,22.411965212614856,-10.275248195843314
365,22.41951593118058,-10.25708195530916
366,22.427066649746305,-10.238915714775004
367,22.4392379218122,-10.243946771123973
368,22.43777283927943,-10.264628539832614
369,22.424136484680755,-10.280279252192283
370,22.40336267039333,-10.278788081180215
371,22.41448211880343,-10.26919278233193
372,22.440289745468004,-10.25857312632123
373,22.448892287689528,-10.255033240984329
374,22.446375381500953,-10.261088654495714
375,22.43420410943505,-10.256057598146743
376,22.43063537959068,-10.247486656460874
377,22.41846410752478,-10.242455600111905
378,22.422032837369155,-10.251026541797774
379,22.43777283927943,-10.264628539832614
380,22.435255933090858,-10.270683953344
381,22.42056775483638,-10.271708310506414
382,22.429170297057905,-10.268168425169513
383,22.43777283927943,-10.264628539832614
384,22.435255933090858,-10.270683953344
385,22.429170297057905,-10.268168425169513
386,22.423084661024955,-10.265652896995029
387,22.41951593118058,-10.25708195530916
388,22.41951593118058,-10.25708195530916
389,22.418050848647805,-10.277763724017799
390,22.435255933090858,-10.270683953344
391,22.42560156721353,-10.259597483483644
392,22.42560156721353,-10.259597483483644
393,22.447427205156757,-10.27571500969297
394,22.447427205156757,-10.27571500969297
395,22.423084661024955,-10.265652896995029
396,22.41951593118058,-10.25708195530916
397,22.436721015623625,-10.250002184635358
398,22.43420410943505,-10.256057598146743
399,22.42560156721353,-10.259597483483644
400,22.429170297057905,-10.268168425169513
401,22.431687203246476,-10.262113011658128
402,22.423084661024955,-10.265652896995029
403,22.40839648277048,-10.266677254157445
404,22.399793940548957,-10.270217139494346
405,22.404827752926106,-10.258106312471575
406,22.41343029514763,-10.254566427134675
407,22.41951593118058,-10.25708195530916
408,22.423084661024955,-10.265652896995029
