frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
131328.0,-517.0,-16144.0,1082130432,32768,128,1,-609.8911564625851,-17432.190476190477,23.880099408935845,-1501.9958425861194,1502.1856643883164,-89.08913619844475
131328.0,-779.0,-17890.0,1082130432,32768,128,1,-871.8911564625851,-19178.190476190477,19.718798965077738,-1630.2397991673079,1630.3590505841617,-89.30700448812532
131328.0,833.0,-17703.0,1082130432,32768,128,1,740.1088435374149,-18991.190476190477,71.82721090700872,-1791.484890333348,1792.924220517802,-87.70403143461905
131328.0,-643.0,-17860.0,1082130432,32768,128,1,-735.8911564625851,-19148.190476190477,24.079327019378663,-1642.5631171070743,1642.739604340936,-89.16012664611678
131328.0,-478.0,-16912.0,1082130432,32768,128,1,-570.8911564625851,-18200.190476190477,27.08061501035911,-1575.4451316005207,1575.6778612372268,-89.01522933034497
131328.0,146.0,-17273.0,1082130432,32768,128,1,53.10884353741497,-18561.190476190477,48.339859382230955,-1676.879217584319,1677.5758261167487,-88.34877606648709
131328.0,-322.0,-16624.0,1082130432,32768,128,1,-414.89115646258506,-17912.190476190477,31.445630577532402,-1566.7508607688285,1567.066395339484,-88.85019367542397
131328.0,-1057.0,-17595.0,1082130432,32768,128,1,-1149.891156462585,-18883.190476190477,9.910629027323715,-1572.9706741492926,1573.0018951995567,-89.63900808119028
131328.0,-319.0,-17369.0,1082130432,32768,128,1,-411.89115646258506,-18657.190476190477,33.414194659031104,-1634.1525472308306,1634.4941284769802,-88.82861267413612
131328.0,-1014.0,-17420.0,1082130432,32768,128,1,-1106.891156462585,-18708.190476190477,10.873713693268904,-1561.9661900733545,1562.0040385932919,-89.60113871732996
131328.0,1087.0,-17586.0,1082130432,32768,128,1,994.1088435374149,-18874.190476190477,79.81803957971002,-1809.0114868642218,1810.771514865708,-87.47360778037603
