frq I Q
131328.00 378.00 -1142.00
4104.00 -14141.00 13276.00
131328.00 382.00 -1131.00
4104.00 -14168.00 13295.00
131328.00 347.00 -1143.00
4104.00 -14084.00 13375.00
131328.00 304.00 -1084.00
4104.00 -14206.00 13449.00
131328.00 373.00 -1140.00
4104.00 -14191.00 13342.00
131328.00 334.00 -1101.00
4104.00 -14170.00 13286.00
131328.00 287.00 -1082.00
4104.00 -14183.00 13446.00
131328.00 356.00 -1130.00
4104.00 -14140.00 13433.00
131328.00 308.00 -1110.00
4104.00 -14024.00 13186.00
131328.00 326.00 -1101.00
4104.00 -14029.00 13299.00
131328.00 272.00 -1094.00
4104.00 -14208.00 13364.00
131328.00 257.00 -1026.00
4104.00 -14202.00 13361.00
131328.00 347.00 -1119.00
4104.00 -14217.00 13373.00
131328.00 373.00 -1146.00
4104.00 -14108.00 13404.00
131328.00 334.00 -1100.00
4104.00 -14202.00 13331.00
131328.00 311.00 -1078.00
4104.00 -14031.00 13330.00
131328.00 311.00 -1065.00
4104.00 -14077.00 13379.00
131328.00 324.00 -1099.00
4104.00 -14213.00 13307.00
131328.00 258.00 -1054.00
4104.00 -14199.00 13466.00
131328.00 338.00 -1145.00
4104.00 -14083.00 13288.00
131328.00 336.00 -1112.00
4104.00 -14185.00 13447.00
131328.00 334.00 -1095.00
4104.00 -14140.00 13424.00
131328.00 332.00 -1118.00
4104.00 -14125.00 13411.00
131328.00 406.00 -1163.00
4104.00 -14182.00 13290.00
131328.00 383.00 -1140.00
4104.00 -14199.00 13457.00
131328.00 394.00 -1162.00
4104.00 -14179.00 13456.00
131328.00 363.00 -1131.00
4104.00 -14029.00 13305.00
131328.00 324.00 -1108.00
4104.00 -14096.00 13224.00
131328.00 349.00 -1100.00
4104.00 -14132.00 13260.00
131328.00 339.00 -1096.00
4104.00 -14167.00 13454.00
131328.00 372.00 -1163.00
4104.00 -14031.00 13297.00
131328.00 306.00 -1113.00
4104.00 -14143.00 13243.00
131328.00 380.00 -1125.00
4104.00 -14205.00 13320.00
131328.00 416.00 -1173.00
4104.00 -14017.00 13280.00
131328.00 350.00 -1134.00
4104.00 -14131.00 13420.00
131328.00 353.00 -1114.00
4104.00 -14143.00 13435.00
131328.00 300.00 -1092.00
4104.00 -14116.00 13407.00
131328.00 236.00 -993.00
4104.00 -14209.00 13302.00
131328.00 351.00 -1125.00
4104.00 -14017.00 13303.00
131328.00 287.00 -1066.00
4104.00 -14187.00 13314.00
131328.00 389.00 -1160.00
4104.00 -14095.00 13387.00
131328.00 317.00 -1104.00
4104.00 -14064.00 13292.00
131328.00 366.00 -1133.00
4104.00 -14037.00 13310.00
131328.00 326.00 -1092.00
4104.00 -14040.00 13335.00
131328.00 316.00 -1101.00
4104.00 -14123.00 13300.00
131328.00 353.00 -1129.00
4104.00 -14208.00 13458.00
131328.00 314.00 -1058.00
4104.00 -14079.00 13344.00
131328.00 344.00 -1117.00
4104.00 -14205.00 13326.00
131328.00 353.00 -1169.00
4104.00 -14172.00 13276.00
131328.00 284.00 -1041.00
4104.00 -14145.00 13427.00
131328.00 369.00 -1133.00
4104.00 -14154.00 13443.00
131328.00 307.00 -1085.00
4104.00 -14090.00 13399.00
131328.00 345.00 -1116.00
4104.00 -14143.00 13265.00
131328.00 329.00 -1098.00
4104.00 -14211.00 13317.00
131328.00 367.00 -1130.00
4104.00 -14158.00 13272.00
131328.00 360.00 -1146.00
4104.00 -14104.00 13268.00
131328.00 204.00 -993.00
4104.00 -14208.00 13493.00
131328.00 342.00 -1130.00
4104.00 -14063.00 13361.00
131328.00 298.00 -1074.00
4104.00 -14032.00 13276.00
131328.00 344.00 -1152.00
4104.00 -14095.00 13280.00
131328.00 334.00 -1082.00
4104.00 -14195.00 13461.00
131328.00 398.00 -1154.00
4104.00 -14185.00 13454.00
131328.00 364.00 -1168.00
4104.00 -14146.00 13439.00
131328.00 360.00 -1161.00
4104.00 -14184.00 13454.00
131328.00 332.00 -1115.00
4104.00 -14049.00 13331.00
131328.00 267.00 -1051.00
4104.00 -14023.00 13202.00
131328.00 282.00 -1062.00
4104.00 -14178.00 13458.00
131328.00 363.00 -1176.00
4104.00 -14139.00 13428.00
131328.00 358.00 -1115.00
4104.00 -14188.00 13352.00
131328.00 400.00 -1185.00
4104.00 -14045.00 13317.00
131328.00 255.00 -1038.00
4104.00 -14140.00 13429.00
131328.00 344.00 -1155.00
4104.00 -14084.00 13284.00
131328.00 356.00 -1104.00
4104.00 -14059.00 13358.00
131328.00 254.00 -1039.00
4104.00 -14000.00 13293.00
131328.00 356.00 -1131.00
4104.00 -14191.00 13328.00
131328.00 201.00 -964.00
4104.00 -14238.00 13360.00
131328.00 388.00 -1135.00
4104.00 -14050.00 13327.00
131328.00 243.00 -1026.00
4104.00 -14212.00 13464.00
131328.00 375.00 -1177.00
4104.00 -14134.00 13259.00
131328.00 348.00 -1109.00
4104.00 -14100.00 13283.00
131328.00 361.00 -1135.00
4104.00 -14203.00 13464.00
131328.00 296.00 -1107.00
4104.00 -14178.00 13296.00
131328.00 313.00 -1090.00
4104.00 -14211.00 13446.00
131328.00 271.00 -1073.00
4104.00 -14040.00 13303.00
131328.00 322.00 -1112.00
4104.00 -14060.00 13328.00
131328.00 373.00 -1172.00
4104.00 -14146.00 13260.00
131328.00 348.00 -1134.00
4104.00 -14191.00 13449.00
131328.00 390.00 -1168.00
4104.00 -14153.00 13432.00
131328.00 363.00 -1151.00
4104.00 -14050.00 13307.00
131328.00 351.00 -1148.00
4104.00 -14206.00 13473.00
131328.00 377.00 -1151.00
4104.00 -14182.00 13456.00
131328.00 417.00 -1175.00
4104.00 -14142.00 13430.00
131328.00 368.00 -1147.00
4104.00 -14091.00 13382.00
131328.00 282.00 -1070.00
4104.00 -14092.00 13381.00
131328.00 162.00 -926.00
4104.00 -14150.00 13453.00
131328.00 310.00 -1091.00
4104.00 -14033.00 13321.00
131328.00 305.00 -1129.00
4104.00 -14048.00 13339.00
131328.00 253.00 -1037.00
4104.00 -14199.00 13315.00
131328.00 332.00 -1089.00
4104.00 -14039.00 13274.00
131328.00 337.00 -1111.00
4104.00 -14189.00 13307.00
131328.00 342.00 -1131.00
4104.00 -14134.00 13434.00
131328.00 362.00 -1151.00
4104.00 -14131.00 13423.00
131328.00 348.00 -1131.00
4104.00 -14189.00 13312.00
131328.00 382.00 -1174.00
4104.00 -14058.00 13324.00
131328.00 377.00 -1170.00
4104.00 -14060.00 13357.00
131328.00 315.00 -1116.00
4104.00 -14110.00 13415.00
131328.00 333.00 -1157.00
4104.00 -14165.00 13452.00
131328.00 389.00 -1184.00
4104.00 -14091.00 13374.00
131328.00 192.00 -962.00
4104.00 -14139.00 13393.00
131328.00 286.00 -1058.00
4104.00 -14045.00 13348.00
131328.00 326.00 -1099.00
4104.00 -14028.00 13296.00
131328.00 263.00 -1015.00
4104.00 -14179.00 13453.00
131328.00 369.00 -1133.00
4104.00 -14038.00 13340.00
131328.00 223.00 -1005.00
4104.00 -14040.00 13289.00
131328.00 243.00 -1073.00
4104.00 -14198.00 13449.00
131328.00 385.00 -1171.00
4104.00 -14215.00 13316.00
131328.00 327.00 -1099.00
4104.00 -14166.00 13443.00
131328.00 340.00 -1132.00
4104.00 -14183.00 13287.00
131328.00 342.00 -1127.00
4104.00 -14021.00 13287.00
131328.00 354.00 -1129.00
4104.00 -14074.00 13361.00
131328.00 273.00 -1035.00
4104.00 -14193.00 13444.00
131328.00 363.00 -1145.00
4104.00 -14192.00 13370.00
131328.00 352.00 -1128.00
4104.00 -13946.00 13183.00
131328.00 316.00 -1088.00
4104.00 -14115.00 13417.00
131328.00 389.00 -1144.00
4104.00 -14103.00 13404.00
131328.00 349.00 -1133.00
4104.00 -14053.00 13347.00
131328.00 282.00 -1063.00
4104.00 -14173.00 13285.00
131328.00 297.00 -1066.00
4104.00 -14027.00 13323.00
131328.00 322.00 -1102.00
4104.00 -14169.00 13448.00
131328.00 335.00 -1092.00
4104.00 -14175.00 13455.00
131328.00 363.00 -1177.00
4104.00 -14042.00 13335.00
131328.00 221.00 -1023.00
4104.00 -14072.00 13373.00
131328.00 251.00 -1028.00
4104.00 -14208.00 13337.00
131328.00 354.00 -1149.00
4104.00 -14155.00 13448.00
131328.00 375.00 -1171.00
4104.00 -14098.00 13391.00
131328.00 364.00 -1160.00
4104.00 -14187.00 13304.00
131328.00 371.00 -1126.00
4104.00 -14192.00 13317.00
131328.00 367.00 -1154.00
4104.00 -14060.00 13303.00
131328.00 330.00 -1111.00
4104.00 -14140.00 13435.00
131328.00 339.00 -1117.00
4104.00 -14099.00 13389.00
131328.00 352.00 -1101.00
4104.00 -14116.00 13411.00
131328.00 383.00 -1139.00
4104.00 -14068.00 13337.00
131328.00 389.00 -1186.00
4104.00 -14046.00 13344.00
131328.00 257.00 -1068.00
4104.00 -14024.00 13316.00
131328.00 284.00 -1060.00
4104.00 -14144.00 13434.00
131328.00 329.00 -1095.00
4104.00 -14204.00 13343.00
131328.00 423.00 -1173.00
4104.00 -14179.00 13298.00
131328.00 281.00 -1068.00
4104.00 -14206.00 13458.00
131328.00 329.00 -1102.00
4104.00 -14172.00 13452.00
131328.00 398.00 -1157.00
4104.00 -14138.00 13257.00
131328.00 334.00 -1107.00
4104.00 -14202.00 13335.00
131328.00 229.00 -996.00
4104.00 -14182.00 13478.00
131328.00 277.00 -1080.00
4104.00 -14203.00 13454.00
131328.00 338.00 -1131.00
4104.00 -14057.00 13350.00
131328.00 319.00 -1095.00
4104.00 -14193.00 13457.00
131328.00 386.00 -1178.00
4104.00 -14057.00 13271.00
131328.00 298.00 -1070.00
4104.00 -14206.00 13453.00
131328.00 363.00 -1133.00
4104.00 -14127.00 13422.00
131328.00 311.00 -1065.00
4104.00 -14178.00 13445.00
131328.00 335.00 -1119.00
4104.00 -14134.00 13413.00
131328.00 366.00 -1150.00
4104.00 -14086.00 13188.00
131328.00 296.00 -1028.00
4104.00 -14168.00 13438.00
131328.00 324.00 -1103.00
4104.00 -14139.00 13425.00
131328.00 405.00 -1151.00
4104.00 -14065.00 13351.00
131328.00 328.00 -1088.00
4104.00 -14122.00 13411.00
131328.00 321.00 -1101.00
4104.00 -14092.00 13284.00
131328.00 324.00 -1103.00
4104.00 -14044.00 13328.00
131328.00 283.00 -1071.00
4104.00 -14199.00 13339.00
131328.00 384.00 -1159.00
4104.00 -14212.00 13371.00
131328.00 401.00 -1168.00
4104.00 -14199.00 13378.00
131328.00 158.00 -927.00
4104.00 -14106.00 13373.00
131328.00 334.00 -1089.00
4104.00 -14166.00 13443.00
131328.00 414.00 -1156.00
4104.00 -14034.00 13281.00
131328.00 296.00 -1089.00
4104.00 -14052.00 13349.00
131328.00 213.00 -1015.00
4104.00 -14028.00 13322.00
131328.00 286.00 -1116.00
4104.00 -14075.00 13277.00
131328.00 334.00 -1080.00
4104.00 -14132.00 13421.00
131328.00 328.00 -1104.00
