frq I Q Mdiv Clk DAC Kdiv
131328.00 -1973.00 1187.00 1082130432 32768 128 1
4104.00 -11889.00 11086.00 1082130432 32768 128 32
131328.00 -2027.00 1254.00 1082130432 32768 128 1
4104.00 -11761.00 11071.00 1082130432 32768 128 32
131328.00 -2295.00 1518.00 1082130432 32768 128 1
4104.00 -11816.00 11139.00 1082130432 32768 128 32
131328.00 -1997.00 1225.00 1082130432 32768 128 1
4104.00 -11865.00 11179.00 1082130432 32768 128 32
131328.00 -1917.00 1153.00 1082130432 32768 128 1
4104.00 -12013.00 11206.00 1082130432 32768 128 32
131328.00 -1904.00 1106.00 1082130432 32768 128 1
4104.00 -11739.00 10945.00 1082130432 32768 128 32
131328.00 -1970.00 1200.00 1082130432 32768 128 1
4104.00 -11921.00 11090.00 1082130432 32768 128 32
131328.00 -1980.00 1209.00 1082130432 32768 128 1
4104.00 -11938.00 11233.00 1082130432 32768 128 32
131328.00 -1912.00 1128.00 1082130432 32768 128 1
4104.00 -11890.00 11076.00 1082130432 32768 128 32
131328.00 -1914.00 1112.00 1082130432 32768 128 1
4104.00 -11743.00 11058.00 1082130432 32768 128 32
131328.00 -1981.00 1217.00 1082130432 32768 128 1
4104.00 -11893.00 11197.00 1082130432 32768 128 32
131328.00 -1888.00 1128.00 1082130432 32768 128 1
4104.00 -11696.00 10842.00 1082130432 32768 128 32
131328.00 -1916.00 1125.00 1082130432 32768 128 1
4104.00 -12022.00 11217.00 1082130432 32768 128 32
131328.00 -1902.00 1130.00 1082130432 32768 128 1
4104.00 -11921.00 11088.00 1082130432 32768 128 32
131328.00 -1997.00 1226.00 1082130432 32768 128 1
4104.00 -11992.00 11157.00 1082130432 32768 128 32
131328.00 -2019.00 1211.00 1082130432 32768 128 1
4104.00 -11865.00 11158.00 1082130432 32768 128 32
131328.00 -2097.00 1300.00 1082130432 32768 128 1
4104.00 -11783.00 11130.00 1082130432 32768 128 32
131328.00 -2011.00 1241.00 1082130432 32768 128 1
4104.00 -12035.00 11213.00 1082130432 32768 128 32
131328.00 -2307.00 1516.00 1082130432 32768 128 1
4104.00 -11833.00 11116.00 1082130432 32768 128 32
131328.00 -1900.00 1081.00 1082130432 32768 128 1
4104.00 -11783.00 11089.00 1082130432 32768 128 32
131328.00 -1983.00 1228.00 1082130432 32768 128 1
4104.00 -11993.00 11210.00 1082130432 32768 128 32
