frq I Q Mdiv Clk DAC Kdiv
131328.00 1040.00 -1788.00 1082130432 32768 128 1
4104.00 8157.00 -8962.00 1082130432 32768 128 32
131328.00 1510.00 -2263.00 1082130432 32768 128 1
4104.00 8733.00 -9441.00 1082130432 32768 128 32
131328.00 -14.00 -768.00 1082130432 32768 128 1
4104.00 8915.00 -9691.00 1082130432 32768 128 32
131328.00 502.00 -1305.00 1082130432 32768 128 1
4104.00 8092.00 -8859.00 1082130432 32768 128 32
131328.00 359.00 -1189.00 1082130432 32768 128 1
4104.00 8303.00 -9019.00 1082130432 32768 128 32
131328.00 -51.00 -727.00 1082130432 32768 128 1
4104.00 7489.00 -8307.00 1082130432 32768 128 32
131328.00 670.00 -1446.00 1082130432 32768 128 1
4104.00 9819.00 -10687.00 1082130432 32768 128 32
131328.00 371.00 -1153.00 1082130432 32768 128 1
4104.00 7636.00 -8441.00 1082130432 32768 128 32
131328.00 739.00 -1506.00 1082130432 32768 128 1
4104.00 8645.00 -9432.00 1082130432 32768 128 32
131328.00 1152.00 -1948.00 1082130432 32768 128 1
4104.00 8200.00 -9040.00 1082130432 32768 128 32
131328.00 410.00 -1228.00 1082130432 32768 128 1
4104.00 7980.00 -8816.00 1082130432 32768 128 32
131328.00 -38.00 -752.00 1082130432 32768 128 1
4104.00 6701.00 -7517.00 1082130432 32768 128 32
131328.00 715.00 -1527.00 1082130432 32768 128 1
4104.00 6989.00 -7825.00 1082130432 32768 128 32
131328.00 417.00 -1198.00 1082130432 32768 128 1
4104.00 8173.00 -8985.00 1082130432 32768 128 32
131328.00 465.00 -1282.00 1082130432 32768 128 1
4104.00 9061.00 -9772.00 1082130432 32768 128 32
131328.00 420.00 -1174.00 1082130432 32768 128 1
4104.00 8624.00 -9434.00 1082130432 32768 128 32
131328.00 963.00 -1712.00 1082130432 32768 128 1
4104.00 8137.00 -8985.00 1082130432 32768 128 32
131328.00 51.00 -822.00 1082130432 32768 128 1
4104.00 8587.00 -9448.00 1082130432 32768 128 32
131328.00 1058.00 -1794.00 1082130432 32768 128 1
4104.00 8994.00 -9824.00 1082130432 32768 128 32
131328.00 185.00 -996.00 1082130432 32768 128 1
4104.00 7331.00 -8133.00 1082130432 32768 128 32
131328.00 368.00 -1174.00 1082130432 32768 128 1
4104.00 8935.00 -9717.00 1082130432 32768 128 32
131328.00 318.00 -1121.00 1082130432 32768 128 1
4104.00 7121.00 -7920.00 1082130432 32768 128 32
131328.00 1614.00 -2405.00 1082130432 32768 128 1
4104.00 7979.00 -8749.00 1082130432 32768 128 32
131328.00 1220.00 -1996.00 1082130432 32768 128 1
4104.00 8179.00 -8899.00 1082130432 32768 128 32
131328.00 1049.00 -1803.00 1082130432 32768 128 1
4104.00 7526.00 -8269.00 1082130432 32768 128 32
131328.00 1084.00 -1861.00 1082130432 32768 128 1
4104.00 8049.00 -8802.00 1082130432 32768 128 32
131328.00 743.00 -1524.00 1082130432 32768 128 1
4104.00 7771.00 -8589.00 1082130432 32768 128 32
131328.00 650.00 -1433.00 1082130432 32768 128 1
4104.00 7631.00 -8393.00 1082130432 32768 128 32
131328.00 1209.00 -2049.00 1082130432 32768 128 1
4104.00 7776.00 -8623.00 1082130432 32768 128 32
131328.00 184.00 -962.00 1082130432 32768 128 1
4104.00 9927.00 -10680.00 1082130432 32768 128 32
131328.00 347.00 -1132.00 1082130432 32768 128 1
4104.00 6975.00 -7762.00 1082130432 32768 128 32
131328.00 1071.00 -1870.00 1082130432 32768 128 1
4104.00 7215.00 -7969.00 1082130432 32768 128 32
131328.00 1425.00 -2160.00 1082130432 32768 128 1
4104.00 7466.00 -8246.00 1082130432 32768 128 32
131328.00 1480.00 -2256.00 1082130432 32768 128 1
4104.00 7650.00 -8403.00 1082130432 32768 128 32
131328.00 535.00 -1292.00 1082130432 32768 128 1
4104.00 8587.00 -9335.00 1082130432 32768 128 32
131328.00 554.00 -1329.00 1082130432 32768 128 1
4104.00 8031.00 -8882.00 1082130432 32768 128 32
131328.00 1703.00 -2498.00 1082130432 32768 128 1
4104.00 8313.00 -9124.00 1082130432 32768 128 32
131328.00 781.00 -1628.00 1082130432 32768 128 1
4104.00 8270.00 -9117.00 1082130432 32768 128 32
131328.00 680.00 -1508.00 1082130432 32768 128 1
4104.00 7871.00 -8702.00 1082130432 32768 128 32
131328.00 206.00 -984.00 1082130432 32768 128 1
4104.00 8383.00 -9205.00 1082130432 32768 128 32
131328.00 1374.00 -2162.00 1082130432 32768 128 1
4104.00 7810.00 -8663.00 1082130432 32768 128 32
131328.00 1155.00 -1961.00 1082130432 32768 128 1
4104.00 8056.00 -8905.00 1082130432 32768 128 32
131328.00 496.00 -1289.00 1082130432 32768 128 1
4104.00 7365.00 -8183.00 1082130432 32768 128 32
131328.00 476.00 -1233.00 1082130432 32768 128 1
4104.00 7005.00 -7822.00 1082130432 32768 128 32
131328.00 -68.00 -698.00 1082130432 32768 128 1
4104.00 8573.00 -9355.00 1082130432 32768 128 32
131328.00 451.00 -1261.00 1082130432 32768 128 1
4104.00 8971.00 -9879.00 1082130432 32768 128 32
131328.00 111.00 -877.00 1082130432 32768 128 1
4104.00 7855.00 -8655.00 1082130432 32768 128 32
131328.00 1140.00 -1913.00 1082130432 32768 128 1
4104.00 7438.00 -8284.00 1082130432 32768 128 32
131328.00 1067.00 -1805.00 1082130432 32768 128 1
4104.00 8080.00 -8908.00 1082130432 32768 128 32
131328.00 1268.00 -2014.00 1082130432 32768 128 1
4104.00 8243.00 -9047.00 1082130432 32768 128 32
131328.00 163.00 -903.00 1082130432 32768 128 1
4104.00 8151.00 -8929.00 1082130432 32768 128 32
131328.00 1374.00 -2182.00 1082130432 32768 128 1
4104.00 8672.00 -9541.00 1082130432 32768 128 32
131328.00 788.00 -1541.00 1082130432 32768 128 1
4104.00 7375.00 -8215.00 1082130432 32768 128 32
131328.00 -109.00 -658.00 1082130432 32768 128 1
4104.00 8680.00 -9549.00 1082130432 32768 128 32
131328.00 847.00 -1639.00 1082130432 32768 128 1
4104.00 8260.00 -9059.00 1082130432 32768 128 32
131328.00 35.00 -827.00 1082130432 32768 128 1
4104.00 8448.00 -9291.00 1082130432 32768 128 32
131328.00 1192.00 -1981.00 1082130432 32768 128 1
4104.00 7197.00 -7978.00 1082130432 32768 128 32
131328.00 614.00 -1398.00 1082130432 32768 128 1
4104.00 8081.00 -8835.00 1082130432 32768 128 32
131328.00 1534.00 -2294.00 1082130432 32768 128 1
4104.00 9163.00 -9926.00 1082130432 32768 128 32
131328.00 1195.00 -1959.00 1082130432 32768 128 1
4104.00 9366.00 -10192.00 1082130432 32768 128 32
131328.00 495.00 -1221.00 1082130432 32768 128 1
4104.00 7592.00 -8448.00 1082130432 32768 128 32
131328.00 578.00 -1369.00 1082130432 32768 128 1
4104.00 8624.00 -9484.00 1082130432 32768 128 32
131328.00 830.00 -1579.00 1082130432 32768 128 1
4104.00 7653.00 -8450.00 1082130432 32768 128 32
131328.00 441.00 -1219.00 1082130432 32768 128 1
4104.00 7940.00 -8791.00 1082130432 32768 128 32
131328.00 526.00 -1266.00 1082130432 32768 128 1
4104.00 8733.00 -9603.00 1082130432 32768 128 32
131328.00 651.00 -1423.00 1082130432 32768 128 1
4104.00 8813.00 -9627.00 1082130432 32768 128 32
131328.00 855.00 -1647.00 1082130432 32768 128 1
4104.00 8530.00 -9393.00 1082130432 32768 128 32
131328.00 998.00 -1782.00 1082130432 32768 128 1
4104.00 7921.00 -8734.00 1082130432 32768 128 32
131328.00 170.00 -940.00 1082130432 32768 128 1
4104.00 8221.00 -9009.00 1082130432 32768 128 32
131328.00 1134.00 -1906.00 1082130432 32768 128 1
4104.00 6700.00 -7464.00 1082130432 32768 128 32
131328.00 1266.00 -2065.00 1082130432 32768 128 1
4104.00 7619.00 -8447.00 1082130432 32768 128 32
131328.00 427.00 -1253.00 1082130432 32768 128 1
4104.00 8285.00 -9113.00 1082130432 32768 128 32
131328.00 1084.00 -1880.00 1082130432 32768 128 1
4104.00 8259.00 -9127.00 1082130432 32768 128 32
131328.00 531.00 -1310.00 1082130432 32768 128 1
4104.00 8268.00 -9077.00 1082130432 32768 128 32
131328.00 862.00 -1661.00 1082130432 32768 128 1
4104.00 7573.00 -8430.00 1082130432 32768 128 32
131328.00 1843.00 -2633.00 1082130432 32768 128 1
4104.00 6653.00 -7457.00 1082130432 32768 128 32
131328.00 1430.00 -2235.00 1082130432 32768 128 1
4104.00 7358.00 -8180.00 1082130432 32768 128 32
131328.00 401.00 -1213.00 1082130432 32768 128 1
4104.00 8107.00 -8951.00 1082130432 32768 128 32
131328.00 573.00 -1344.00 1082130432 32768 128 1
4104.00 8411.00 -9165.00 1082130432 32768 128 32
131328.00 850.00 -1655.00 1082130432 32768 128 1
4104.00 7366.00 -8187.00 1082130432 32768 128 32
131328.00 216.00 -1026.00 1082130432 32768 128 1
4104.00 9555.00 -10348.00 1082130432 32768 128 32
131328.00 527.00 -1334.00 1082130432 32768 128 1
4104.00 7597.00 -8385.00 1082130432 32768 128 32
131328.00 621.00 -1407.00 1082130432 32768 128 1
4104.00 7746.00 -8536.00 1082130432 32768 128 32
131328.00 1622.00 -2381.00 1082130432 32768 128 1
4104.00 8642.00 -9430.00 1082130432 32768 128 32
131328.00 815.00 -1615.00 1082130432 32768 128 1
4104.00 6689.00 -7487.00 1082130432 32768 128 32
131328.00 968.00 -1730.00 1082130432 32768 128 1
4104.00 9608.00 -10467.00 1082130432 32768 128 32
131328.00 484.00 -1260.00 1082130432 32768 128 1
4104.00 7167.00 -7984.00 1082130432 32768 128 32
131328.00 198.00 -938.00 1082130432 32768 128 1
4104.00 9198.00 -10080.00 1082130432 32768 128 32
131328.00 493.00 -1258.00 1082130432 32768 128 1
4104.00 9181.00 -10030.00 1082130432 32768 128 32
131328.00 1491.00 -2275.00 1082130432 32768 128 1
4104.00 7731.00 -8529.00 1082130432 32768 128 32
131328.00 784.00 -1576.00 1082130432 32768 128 1
4104.00 7602.00 -8396.00 1082130432 32768 128 32
131328.00 865.00 -1617.00 1082130432 32768 128 1
4104.00 8034.00 -8790.00 1082130432 32768 128 32
131328.00 85.00 -865.00 1082130432 32768 128 1
4104.00 7486.00 -8277.00 1082130432 32768 128 32
131328.00 202.00 -971.00 1082130432 32768 128 1
4104.00 8173.00 -8937.00 1082130432 32768 128 32
131328.00 408.00 -1243.00 1082130432 32768 128 1
4104.00 7537.00 -8343.00 1082130432 32768 128 32
131328.00 8.00 -824.00 1082130432 32768 128 1
4104.00 8116.00 -8929.00 1082130432 32768 128 32
131328.00 1482.00 -2347.00 1082130432 32768 128 1
4104.00 8310.00 -9107.00 1082130432 32768 128 32
131328.00 1283.00 -2049.00 1082130432 32768 128 1
4104.00 8295.00 -9066.00 1082130432 32768 128 32
131328.00 948.00 -1721.00 1082130432 32768 128 1
4104.00 8819.00 -9577.00 1082130432 32768 128 32
131328.00 760.00 -1521.00 1082130432 32768 128 1
4104.00 6913.00 -7728.00 1082130432 32768 128 32
131328.00 345.00 -1153.00 1082130432 32768 128 1
4104.00 7232.00 -8013.00 1082130432 32768 128 32
131328.00 -208.00 -559.00 1082130432 32768 128 1
4104.00 8304.00 -9129.00 1082130432 32768 128 32
131328.00 664.00 -1440.00 1082130432 32768 128 1
4104.00 8277.00 -9051.00 1082130432 32768 128 32
131328.00 759.00 -1548.00 1082130432 32768 128 1
4104.00 7267.00 -8100.00 1082130432 32768 128 32
131328.00 80.00 -871.00 1082130432 32768 128 1
4104.00 9322.00 -10119.00 1082130432 32768 128 32
131328.00 1252.00 -2020.00 1082130432 32768 128 1
4104.00 6966.00 -7743.00 1082130432 32768 128 32
131328.00 757.00 -1522.00 1082130432 32768 128 1
4104.00 9181.00 -10042.00 1082130432 32768 128 32
131328.00 725.00 -1491.00 1082130432 32768 128 1
4104.00 8497.00 -9213.00 1082130432 32768 128 32
131328.00 518.00 -1277.00 1082130432 32768 128 1
4104.00 9697.00 -10525.00 1082130432 32768 128 32
131328.00 594.00 -1404.00 1082130432 32768 128 1
4104.00 7328.00 -8170.00 1082130432 32768 128 32
131328.00 1012.00 -1830.00 1082130432 32768 128 1
4104.00 7285.00 -8065.00 1082130432 32768 128 32
131328.00 892.00 -1637.00 1082130432 32768 128 1
4104.00 8149.00 -8995.00 1082130432 32768 128 32
131328.00 1338.00 -2114.00 1082130432 32768 128 1
4104.00 8403.00 -9198.00 1082130432 32768 128 32
131328.00 893.00 -1683.00 1082130432 32768 128 1
4104.00 9139.00 -10035.00 1082130432 32768 128 32
131328.00 399.00 -1199.00 1082130432 32768 128 1
4104.00 7873.00 -8704.00 1082130432 32768 128 32
131328.00 1331.00 -2116.00 1082130432 32768 128 1
4104.00 8395.00 -9237.00 1082130432 32768 128 32
131328.00 -31.00 -762.00 1082130432 32768 128 1
4104.00 7840.00 -8650.00 1082130432 32768 128 32
131328.00 1034.00 -1793.00 1082130432 32768 128 1
4104.00 8029.00 -8823.00 1082130432 32768 128 32
131328.00 145.00 -922.00 1082130432 32768 128 1
4104.00 8400.00 -9236.00 1082130432 32768 128 32
131328.00 672.00 -1413.00 1082130432 32768 128 1
4104.00 8076.00 -8868.00 1082130432 32768 128 32
131328.00 335.00 -1106.00 1082130432 32768 128 1
4104.00 7621.00 -8418.00 1082130432 32768 128 32
131328.00 303.00 -1040.00 1082130432 32768 128 1
4104.00 9119.00 -9971.00 1082130432 32768 128 32
131328.00 769.00 -1555.00 1082130432 32768 128 1
4104.00 8372.00 -9231.00 1082130432 32768 128 32
