frq I Q
131328 -465.16 460.45
4104 -34.54 30.78
4104 -30.12 25.36
131328 -466.6 461.58
131328 -466.46 461.5
131328 -465.64 460.72
4104 -32.07 28.39
4104 -28.63 24.72
131328 -466.36 461.47
131328 -466.48 461.77
4104 -34.24 27.96
131328 -465.28 460.68
4104 -34.32 28.3
4104 -34.07 27.95
131328 -465.91 461.34
131328 -466.08 461.4
4104 -29.54 25.28
4104 -35.19 28.66
131328 -466.94 462.07
4104 -34.46 30.8
131328 -464.42 459.83
4104 -35.36 29.31
131328 -465.64 460.86
4104 -34.25 30.5
131328 -465.5 460.81
4104 -33.66 29.94
4104 -33.25 26.93
131328 -466.01 461.0
131328 -467.28 462.5
4104 -29.34 25.13
4104 -29.89 26.09
131328 -465.72 460.95
131328 -466.87 462.0
4104 -30.64 24.39
4104 -34.8 28.5
4104 -31.72 25.46
131328 -467.22 462.72
131328 -465.81 461.07
131328 -466.33 461.7
4104 -30.01 26.1
131328 -467.74 462.9
4104 -31.09 24.78
131328 -466.59 462.11
4104 -32.73 28.76
131328 -467.01 462.38
4104 -32.91 26.68
131328 -465.34 460.85
4104 -28.41 23.53
4104 -29.13 24.95
131328 -467.48 462.75
131328 -465.54 460.81
4104 -31.91 28.15
131328 -465.47 460.86
4104 -34.65 28.23
4104 -30.5 26.51
131328 -465.91 461.56
4104 -27.94 23.95
131328 -464.58 459.76
131328 -466.52 461.85
4104 -31.38 25.54
131328 -465.45 460.93
4104 -31.37 24.93
131328 -467.08 462.48
4104 -30.67 26.99
4104 -28.74 25.09
131328 -464.99 460.23
131328 -465.36 460.57
4104 -33.31 27.12
4104 -35.33 28.97
131328 -464.37 459.81
4104 -30.83 27.08
131328 -466.7 462.19
4104 -34.84 28.56
131328 -466.13 461.43
131328 -462.58 457.98
4104 -33.73 27.52
131328 -464.55 459.89
4104 -35.54 28.98
131328 -465.92 461.25
4104 -34.98 31.31
4104 -31.81 27.87
131328 -465.17 460.31
131328 -465.71 461.12
4104 -31.89 25.86
4104 -32.36 27.1
131328 -465.7 460.97
4104 -29.76 25.98
131328 -464.75 460.17
4104 -31.6 27.17
131328 -466.08 461.42
4104 -34.38 28.11
4104 -35.68 29.13
131328 -465.47 460.76
131328 -467.06 462.63
131328 -465.48 461.03
4104 -33.13 29.52
4104 -34.17 27.62
131328 -464.52 459.82
4104 -33.13 29.25
131328 -466.32 461.77
131328 -465.85 461.01
4104 -32.5 28.95
131328 -467.04 462.38
4104 -32.37 26.0
4104 -29.93 25.82
131328 -465.11 460.52
4104 -35.39 29.42
131328 -464.39 459.77
131328 -466.44 461.87
4104 -31.54 25.09
131328 -465.99 461.57
4104 -33.29 26.98
4104 -31.27 25.04
131328 -465.4 460.7
131328 -465.68 461.01
4104 -32.69 29.03
4104 -31.51 27.85
131328 -466.92 462.28
4104 -36.29 30.01
4104 -32.01 25.68
131328 -466.22 461.49
131328 -466.21 461.83
4104 -33.78 28.39
4104 -34.04 27.68
131328 -466.36 461.69
131328 -467.26 462.79
4104 -31.55 26.76
131328 -466.5 461.81
131328 -465.38 460.67
4104 -36.24 29.77
4104 -29.6 23.09
131328 -465.24 460.77
131328 -467.98 463.3
131328 -465.42 460.64
4104 -34.32 29.54
4104 -29.82 25.04
131328 -466.42 461.66
4104 -35.13 28.95
131328 -466.54 461.89
4104 -32.25 25.8
131328 -465.26 460.67
131328 -467.17 462.72
4104 -28.1 24.38
4104 -35.22 30.26
131328 -466.63 461.91
4104 -29.91 25.78
131328 -465.47 460.8
4104 -31.95 25.54
131328 -466.2 461.64
4104 -29.66 25.88
4104 -33.92 27.77
131328 -464.05 459.45
131328 -465.84 461.06
131328 -466.8 462.3
4104 -29.27 25.42
131328 -466.46 461.83
4104 -37.02 30.82
4104 -32.7 26.52
131328 -465.36 460.68
131328 -465.51 461.05
4104 -30.85 24.52
4104 -34.66 28.14
131328 -465.87 461.46
4104 -32.84 26.63
4104 -32.26 28.39
131328 -465.19 460.48
131328 -465.46 460.73
4104 -32.55 26.45
4104 -32.87 26.51
4104 -34.72 28.21
131328 -465.97 461.52
131328 -464.66 459.96
4104 -32.65 26.3
131328 -465.81 461.42
131328 -466.85 462.33
4104 -35.12 31.22
4104 -32.33 25.82
131328 -466.35 461.57
131328 -465.23 460.62
4104 -33.44 29.68
4104 -31.4 27.58
131328 -465.98 461.32
131328 -466.12 461.45
4104 -31.94 28.27
4104 -36.13 31.4
131328 -466.06 461.25
4104 -31.78 25.26
131328 -466.89 462.3
131328 -466.94 462.51
4104 -29.6 24.23
131328 -466.15 461.53
4104 -29.05 25.27
131328 -466.35 461.49
4104 -31.05 27.41
4104 -35.28 28.81
131328 -465.54 460.76
4104 -32.96 29.03
131328 -467.11 462.44
131328 -466.5 461.95
4104 -31.68 25.76
4104 -34.56 30.72
131328 -466.34 461.8
4104 -33.75 27.45
131328 -464.52 459.82
131328 -467.11 462.62
4104 -34.12 27.85
4104 -36.6 30.16
131328 -466.6 461.8
4104 -33.62 28.41
131328 -465.71 461.11
4104 -33.39 27.09
131328 -466.13 461.46
131328 -464.83 460.23
4104 -29.73 25.68
4104 -32.97 29.25
131328 -466.34 461.52
131328 -465.91 461.05
4104 -30.05 26.09
131328 -465.54 460.7
4104 -31.8 28.09
131328 -465.23 460.46
4104 -34.3 27.8
4104 -31.58 27.52
131328 -465.52 461.11
4104 -32.09 28.45
131328 -467.03 462.43
131328 -465.88 461.26
4104 -32.16 25.69
4104 -30.57 26.57
131328 -465.09 460.59
131328 -466.73 462.14
4104 -31.62 27.89
131328 -466.36 461.53
4104 -31.21 24.74
4104 -31.47 25.96
131328 -464.81 460.23
131328 -465.66 460.95
4104 -31.3 27.55
4104 -32.64 28.96
131328 -466.94 462.44
4104 -30.95 26.93
131328 -465.3 460.45
131328 -466.7 462.25
4104 -31.38 26.7
131328 -465.07 460.44
4104 -31.85 28.11
131328 -467.25 462.5
4104 -31.1 27.26
131328 -464.74 460.08
4104 -32.95 29.1
4104 -35.8 29.27
131328 -465.85 461.25
131328 -465.73 461.24
4104 -27.13 23.39
131328 -465.52 460.93
4104 -30.74 26.7
4104 -36.8 30.22
131328 -467.05 462.23
4104 -33.56 27.45
131328 -466.12 461.63
131328 -466.68 462.13
4104 -33.63 27.41
4104 -25.79 22.03
131328 -466.01 461.48
4104 -30.62 24.04
131328 -466.17 461.6
4104 -34.62 28.35
4104 -28.62 24.64
131328 -465.97 461.55
131328 -465.56 461.11
131328 -465.52 460.85
4104 -31.8 28.19
131328 -466.28 461.5
4104 -33.62 29.88
4104 -34.87 28.7
131328 -466.49 461.67
4104 -33.51 27.05
131328 -465.82 461.38
4104 -34.74 31.15
131328 -466.43 461.9
131328 -467.49 462.85
4104 -30.62 26.96
131328 -465.9 461.19
4104 -37.06 30.82
131328 -466.03 461.57
4104 -34.05 27.64
131328 -464.95 460.38
4104 -35.99 29.64
4104 -34.59 30.69
131328 -466.64 462.18
131328 -466.46 461.91
4104 -26.96 23.21
4104 -34.99 28.43
4104 -31.7 27.74
131328 -465.24 460.45
131328 -465.18 460.64
4104 -35.15 31.1
131328 -466.61 461.87
4104 -35.28 30.56
131328 -466.38 461.79
4104 -31.07 27.39
131328 -465.36 460.74
4104 -33.19 29.29
131328 -466.16 461.6
131328 -466.48 461.72
4104 -37.69 31.42
4104 -34.87 31.22
131328 -467.39 463.04
131328 -464.36 459.67
4104 -32.23 28.5
4104 -26.51 22.24
131328 -465.41 460.55
4104 -34.87 28.59
131328 -466.34 461.65
131328 -465.8 461.26
