frq I Q Mdiv Ref dac Kdiv
131328.00 44899.00 -289257.00 1082130432 32768 128 1
4104.00 110484.00 47537.00 1082130432 32768 128 32
131328.00 39179.00 -302061.00 1082130432 32768 128 1
4104.00 106203.00 56076.00 1082130432 32768 128 32
131328.00 38893.00 -291473.00 1082130432 32768 128 1
4104.00 100905.00 46542.00 1082130432 32768 128 32
131328.00 49036.00 -287803.00 1082130432 32768 128 1
4104.00 106471.00 43175.00 1082130432 32768 128 32
131328.00 42952.00 -297809.00 1082130432 32768 128 1
4104.00 108189.00 47770.00 1082130432 32768 128 32
131328.00 41556.00 -295978.00 1082130432 32768 128 1
4104.00 102603.00 44688.00 1082130432 32768 128 32
131328.00 40295.00 -302141.00 1082130432 32768 128 1
4104.00 98581.00 47518.00 1082130432 32768 128 32
131328.00 44319.00 -296252.00 1082130432 32768 128 1
4104.00 103400.00 46731.00 1082130432 32768 128 32
131328.00 45377.00 -295318.00 1082130432 32768 128 1
4104.00 111280.00 49410.00 1082130432 32768 128 32
131328.00 49103.00 -287948.00 1082130432 32768 128 1
4104.00 107027.00 46543.00 1082130432 32768 128 32
131328.00 43057.00 -299967.00 1082130432 32768 128 1
4104.00 106682.00 56281.00 1082130432 32768 128 32
131328.00 42200.00 -297123.00 1082130432 32768 128 1
4104.00 107253.00 50835.00 1082130432 32768 128 32
131328.00 47697.00 -292516.00 1082130432 32768 128 1
4104.00 107818.00 42565.00 1082130432 32768 128 32
131328.00 42018.00 -297589.00 1082130432 32768 128 1
4104.00 106144.00 49781.00 1082130432 32768 128 32
131328.00 41270.00 -301586.00 1082130432 32768 128 1
4104.00 103024.00 46914.00 1082130432 32768 128 32
131328.00 42470.00 -297211.00 1082130432 32768 128 1
4104.00 102084.00 50914.00 1082130432 32768 128 32
131328.00 46777.00 -297012.00 1082130432 32768 128 1
4104.00 102892.00 53670.00 1082130432 32768 128 32
131328.00 46277.00 -295011.00 1082130432 32768 128 1
4104.00 109723.00 57695.00 1082130432 32768 128 32
131328.00 48109.00 -293018.00 1082130432 32768 128 1
4104.00 106140.00 48332.00 1082130432 32768 128 32
131328.00 40524.00 -299538.00 1082130432 32768 128 1
4104.00 107100.00 55033.00 1082130432 32768 128 32
131328.00 37866.00 -298929.00 1082130432 32768 128 1
4104.00 107317.00 48867.00 1082130432 32768 128 32
131328.00 41789.00 -292826.00 1082130432 32768 128 1
4104.00 102715.00 48082.00 1082130432 32768 128 32
131328.00 48173.00 -292877.00 1082130432 32768 128 1
4104.00 116354.00 48918.00 1082130432 32768 128 32
131328.00 40921.00 -301075.00 1082130432 32768 128 1
4104.00 112221.00 46143.00 1082130432 32768 128 32
131328.00 42283.00 -297364.00 1082130432 32768 128 1
4104.00 100523.00 49551.00 1082130432 32768 128 32
131328.00 42939.00 -291984.00 1082130432 32768 128 1
4104.00 97040.00 40495.00 1082130432 32768 128 32
131328.00 40154.00 -298128.00 1082130432 32768 128 1
4104.00 98446.00 30476.00 1082130432 32768 128 32
131328.00 40685.00 -298303.00 1082130432 32768 128 1
4104.00 110436.00 59532.00 1082130432 32768 128 32
131328.00 40500.00 -302296.00 1082130432 32768 128 1
4104.00 98991.00 38668.00 1082130432 32768 128 32
131328.00 40717.00 -301565.00 1082130432 32768 128 1
4104.00 105162.00 51058.00 1082130432 32768 128 32
131328.00 43602.00 -298583.00 1082130432 32768 128 1
4104.00 105501.00 51621.00 1082130432 32768 128 32
131328.00 44625.00 -295838.00 1082130432 32768 128 1
4104.00 109573.00 43020.00 1082130432 32768 128 32
131328.00 40654.00 -303763.00 1082130432 32768 128 1
4104.00 105452.00 56264.00 1082130432 32768 128 32
131328.00 40055.00 -302938.00 1082130432 32768 128 1
4104.00 103771.00 44455.00 1082130432 32768 128 32
131328.00 42104.00 -296619.00 1082130432 32768 128 1
4104.00 101570.00 53131.00 1082130432 32768 128 32
131328.00 45988.00 -295331.00 1082130432 32768 128 1
4104.00 98542.00 43850.00 1082130432 32768 128 32
131328.00 39360.00 -306720.00 1082130432 32768 128 1
4104.00 101842.00 43995.00 1082130432 32768 128 32
131328.00 41055.00 -301952.00 1082130432 32768 128 1
4104.00 107710.00 61298.00 1082130432 32768 128 32
131328.00 42551.00 -301924.00 1082130432 32768 128 1
4104.00 102794.00 56312.00 1082130432 32768 128 32
131328.00 45681.00 -295816.00 1082130432 32768 128 1
4104.00 102844.00 43027.00 1082130432 32768 128 32
131328.00 45992.00 -291384.00 1082130432 32768 128 1
4104.00 108939.00 46913.00 1082130432 32768 128 32
131328.00 44909.00 -299244.00 1082130432 32768 128 1
4104.00 101620.00 43082.00 1082130432 32768 128 32
131328.00 43833.00 -297362.00 1082130432 32768 128 1
4104.00 107688.00 47353.00 1082130432 32768 128 32
131328.00 45500.00 -293305.00 1082130432 32768 128 1
4104.00 109768.00 57922.00 1082130432 32768 128 32
131328.00 47473.00 -293682.00 1082130432 32768 128 1
4104.00 99660.00 38147.00 1082130432 32768 128 32
131328.00 44164.00 -305388.00 1082130432 32768 128 1
4104.00 97816.00 44997.00 1082130432 32768 128 32
131328.00 43832.00 -303098.00 1082130432 32768 128 1
4104.00 101133.00 52570.00 1082130432 32768 128 32
131328.00 39424.00 -300381.00 1082130432 32768 128 1
4104.00 108151.00 56264.00 1082130432 32768 128 32
131328.00 45738.00 -290751.00 1082130432 32768 128 1
4104.00 102071.00 52647.00 1082130432 32768 128 32
131328.00 48541.00 -295327.00 1082130432 32768 128 1
4104.00 105490.00 62697.00 1082130432 32768 128 32
131328.00 41683.00 -300959.00 1082130432 32768 128 1
4104.00 102397.00 48798.00 1082130432 32768 128 32
131328.00 39655.00 -305229.00 1082130432 32768 128 1
4104.00 111264.00 47800.00 1082130432 32768 128 32
131328.00 44789.00 -289090.00 1082130432 32768 128 1
4104.00 110201.00 49638.00 1082130432 32768 128 32
131328.00 44437.00 -281366.00 1082130432 32768 128 1
4104.00 101205.00 49993.00 1082130432 32768 128 32
131328.00 42468.00 -300960.00 1082130432 32768 128 1
4104.00 103413.00 46610.00 1082130432 32768 128 32
131328.00 45553.00 -300066.00 1082130432 32768 128 1
4104.00 96684.00 52173.00 1082130432 32768 128 32
131328.00 39209.00 -306925.00 1082130432 32768 128 1
4104.00 105610.00 50139.00 1082130432 32768 128 32
131328.00 44587.00 -292173.00 1082130432 32768 128 1
4104.00 106920.00 51271.00 1082130432 32768 128 32
131328.00 44203.00 -289027.00 1082130432 32768 128 1
4104.00 113263.00 52788.00 1082130432 32768 128 32
131328.00 43300.00 -296344.00 1082130432 32768 128 1
4104.00 109421.00 51344.00 1082130432 32768 128 32
131328.00 43135.00 -300049.00 1082130432 32768 128 1
4104.00 103193.00 57936.00 1082130432 32768 128 32
131328.00 44182.00 -298104.00 1082130432 32768 128 1
4104.00 103958.00 39808.00 1082130432 32768 128 32
131328.00 46067.00 -280711.00 1082130432 32768 128 1
4104.00 111823.00 58393.00 1082130432 32768 128 32
131328.00 40471.00 -299612.00 1082130432 32768 128 1
4104.00 110695.00 46411.00 1082130432 32768 128 32
131328.00 39928.00 -301417.00 1082130432 32768 128 1
4104.00 99589.00 49969.00 1082130432 32768 128 32
131328.00 45103.00 -301264.00 1082130432 32768 128 1
4104.00 101060.00 46942.00 1082130432 32768 128 32
131328.00 41319.00 -297562.00 1082130432 32768 128 1
4104.00 111336.00 54948.00 1082130432 32768 128 32
131328.00 44296.00 -295412.00 1082130432 32768 128 1
4104.00 100405.00 45927.00 1082130432 32768 128 32
131328.00 39323.00 -305493.00 1082130432 32768 128 1
4104.00 115164.00 52532.00 1082130432 32768 128 32
131328.00 42910.00 -297441.00 1082130432 32768 128 1
