frq I Q
131328 23.88 -1.13
131328 23.9 -1.1
4104 38.84 -25.15
4104 38.76 -25.15
131328 23.86 -1.17
131328 23.96 -1.12
4104 38.88 -25.13
131328 23.94 -1.32
4104 38.77 -25.36
4104 38.75 -25.26
131328 23.87 -1.03
131328 23.92 -1.14
4104 38.93 -25.37
131328 23.94 -1.03
4104 38.95 -25.29
131328 23.92 -1.18
4104 38.88 -25.14
4104 38.92 -25.19
131328 23.96 -1.19
4104 38.92 -25.22
131328 23.82 -1.14
131328 23.89 -0.98
4104 38.93 -25.19
4104 38.71 -25.45
131328 23.91 -0.99
131328 23.86 -1.11
4104 38.89 -25.09
131328 23.95 -1.13
4104 38.85 -25.43
131328 23.84 -1.09
4104 38.87 -25.36
4104 38.81 -25.16
4104 39.16 -25.16
131328 23.94 -1.01
131328 23.88 -1.03
4104 38.85 -25.15
4104 38.83 -25.09
131328 23.92 -1.05
131328 23.75 -1.09
4104 38.88 -25.11
131328 23.98 -1.14
4104 38.95 -25.2
131328 23.83 -1.07
4104 38.86 -25.05
4104 38.89 -25.15
131328 23.84 -1.15
4104 38.88 -25.11
131328 23.8 -1.18
4104 38.85 -25.2
131328 23.9 -1.12
131328 23.88 -1.09
4104 38.79 -25.31
4104 38.77 -25.2
131328 23.9 -1.17
131328 24.0 -1.19
4104 38.83 -25.35
4104 38.81 -25.21
131328 23.9 -1.15
131328 23.86 -1.17
4104 38.89 -25.31
131328 23.9 -0.99
4104 38.85 -25.37
131328 23.83 -1.15
4104 38.81 -25.13
131328 23.91 -0.94
4104 38.82 -25.18
4104 38.89 -25.19
131328 23.98 -1.05
4104 38.85 -25.12
131328 23.98 -0.98
131328 23.86 -1.01
4104 38.85 -25.12
131328 23.9 -1.05
4104 38.87 -25.29
131328 23.94 -1.13
4104 38.8 -25.34
4104 38.82 -25.21
131328 23.86 -1.0
131328 23.98 -1.07
4104 38.75 -25.29
4104 38.78 -25.09
131328 23.92 -1.01
4104 38.81 -25.35
131328 23.95 -1.11
131328 23.92 -1.06
4104 38.88 -25.27
131328 23.92 -0.93
4104 38.87 -25.3
131328 23.88 -0.99
4104 38.77 -25.15
131328 23.84 -0.95
4104 38.83 -25.32
4104 38.87 -25.13
131328 23.96 -1.09
131328 23.96 -0.97
4104 38.69 -25.35
4104 38.72 -25.26
131328 23.8 -1.1
4104 38.82 -25.32
4104 38.88 -25.19
131328 23.85 -0.98
131328 23.78 -1.05
131328 23.94 -1.03
4104 38.85 -25.21
4104 38.81 -25.21
131328 23.96 -1.02
4104 38.95 -25.05
131328 23.86 -0.95
4104 38.87 -25.24
131328 24.04 -0.98
4104 38.86 -25.33
131328 24.0 -1.03
131328 24.0 -0.95
4104 38.89 -25.23
4104 38.81 -25.32
131328 23.9 -1.11
4104 38.89 -25.09
131328 23.9 -1.05
131328 24.02 -0.99
4104 38.81 -25.23
131328 23.85 -1.13
4104 38.87 -25.11
4104 38.87 -25.21
