T frq I Q
11847.0 131328 19.13 -5.06
11910.0 131328 19.18 -4.87
12003.0 4104 37.63 -26.35
12066.0 4104 37.43 -26.17
11972.0 131328 19.33 -4.8
12035.0 131328 19.28 -4.87
12128.0 4104 37.52 -26.35
12097.0 131328 19.21 -4.96
12191.0 4104 37.5 -26.19
12253.0 4104 37.66 -26.19
12159.0 131328 19.2 -4.89
12222.0 131328 19.24 -4.9
12315.0 4104 37.62 -26.42
12284.0 131328 19.19 -4.89
12378.0 4104 37.6 -26.28
12346.0 131328 19.17 -4.98
12409.0 131328 19.29 -4.94
12440.0 4104 37.56 -26.21
12471.0 131328 19.16 -5.08
12502.0 4104 37.54 -26.12
12565.0 4104 37.49 -26.13
12534.0 131328 19.12 -5.0
12596.0 131328 19.19 -4.98
12627.0 4104 37.46 -26.09
12690.0 4104 37.66 -26.4
12658.0 131328 19.2 -4.99
12721.0 131328 19.02 -5.03
12752.0 4104 37.59 -26.24
12783.0 131328 19.12 -4.98
12814.0 4104 37.49 -26.22
12877.0 4104 37.56 -26.33
12846.0 131328 19.2 -4.97
12908.0 131328 19.17 -5.0
12939.0 4104 37.63 -26.42
13001.0 4104 37.61 -26.37
13064.0 4104 37.63 -26.24
12970.0 131328 19.23 -4.91
13033.0 131328 19.23 -4.74
13095.0 131328 19.21 -4.97
13126.0 4104 37.55 -26.19
13189.0 4104 37.55 -26.42
13157.0 131328 19.1 -5.02
13220.0 131328 19.1 -4.96
13251.0 4104 37.64 -26.43
13313.0 4104 37.59 -26.25
13282.0 131328 19.22 -4.89
13376.0 4104 37.62 -26.29
13345.0 131328 19.19 -4.95
13438.0 4104 37.62 -26.23
13407.0 131328 19.08 -4.96
13469.0 131328 19.2 -4.87
13500.0 4104 37.54 -26.25
13532.0 131328 19.14 -4.89
13563.0 4104 37.58 -26.3
13625.0 4104 37.61 -26.22
13594.0 131328 19.25 -4.92
13656.0 131328 19.21 -4.8
13688.0 4104 37.52 -26.25
13750.0 4104 37.59 -26.31
13719.0 131328 19.24 -4.83
13781.0 131328 19.24 -4.95
13812.0 4104 37.63 -26.26
13844.0 131328 19.27 -4.94
13875.0 4104 37.58 -26.22
13906.0 131328 19.15 -5.11
13937.0 4104 37.58 -26.43
14000.0 4104 37.59 -26.44
13968.0 131328 19.11 -5.08
14062.0 4104 37.59 -26.28
14031.0 131328 19.04 -5.1
14124.0 4104 37.56 -26.19
14093.0 131328 19.11 -5.09
14155.0 131328 19.12 -5.16
14187.0 4104 37.6 -26.25
14218.0 131328 19.21 -5.04
14249.0 4104 37.57 -26.13
14311.0 4104 37.63 -26.33
14280.0 131328 19.08 -4.89
14374.0 4104 37.67 -26.33
14436.0 4104 37.53 -26.32
14343.0 131328 19.21 -5.11
14405.0 131328 19.21 -4.79
14623.0 4104 37.6 -26.27
14592.0 131328 19.15 -5.16
14654.0 131328 19.08 -5.08
14686.0 4104 37.57 -26.27
14717.0 131328 19.12 -5.1
14748.0 4104 37.62 -26.16
14810.0 4104 37.52 -26.2
14779.0 131328 19.27 -5.0
14873.0 4104 37.34 -26.12
14842.0 131328 19.14 -5.02
14904.0 131328 19.2 -4.92
14935.0 4104 37.51 -26.25
14998.0 4104 37.6 -26.43
14966.0 131328 19.29 -5.0
15029.0 131328 19.12 -5.0
15060.0 4104 37.58 -26.41
15122.0 4104 37.62 -26.25
15185.0 4104 37.6 -26.35
15091.0 131328 19.16 -5.0
15153.0 131328 19.17 -4.99
15216.0 131328 19.2 -5.04
15247.0 4104 37.66 -26.34
15309.0 4104 37.52 -26.2
15278.0 131328 19.16 -4.85
15372.0 4104 37.52 -26.26
15341.0 131328 19.18 -4.98
15403.0 131328 19.08 -4.97
15434.0 4104 37.64 -26.18
15497.0 4104 37.63 -26.33
15465.0 131328 19.19 -5.05
15559.0 4104 37.63 -26.25
15621.0 4104 37.47 -26.19
15528.0 131328 19.06 -5.03
15590.0 131328 19.25 -5.03
15653.0 131328 19.17 -5.05
15684.0 4104 37.6 -26.29
15746.0 4104 37.47 -26.17
15715.0 131328 19.21 -4.92
15808.0 4104 37.6 -26.39
15777.0 131328 19.22 -4.93
15840.0 131328 19.18 -4.97
15871.0 4104 37.57 -26.31
15902.0 131328 19.21 -4.81
15933.0 4104 37.5 -26.09
15996.0 4104 37.53 -26.32
15964.0 131328 19.23 -4.98
16058.0 4104 37.5 -26.17
16027.0 131328 19.17 -4.93
16089.0 131328 19.23 -5.03
16120.0 4104 37.66 -26.25
16152.0 131328 19.17 -4.94
16183.0 4104 37.6 -26.22
16214.0 131328 19.17 -4.99
16245.0 4104 37.56 -26.29
16307.0 4104 37.48 -26.18
16276.0 131328 19.15 -4.82
16370.0 4104 37.54 -26.21
16432.0 4104 37.53 -26.18
16339.0 131328 19.33 -4.93
16401.0 131328 19.16 -4.97
16495.0 4104 37.61 -26.18
16557.0 4104 37.52 -26.3
16463.0 131328 19.21 -4.88
16526.0 131328 19.26 -4.85
16588.0 131328 19.24 -4.87
16619.0 4104 37.63 -26.41
16651.0 131328 19.27 -4.85
16682.0 4104 37.56 -26.37
16744.0 4104 37.51 -26.1
16713.0 131328 19.12 -4.97
16807.0 4104 37.54 -26.26
16775.0 131328 19.16 -4.92
16838.0 131328 19.19 -4.97
16869.0 4104 37.65 -26.34
16900.0 131328 19.26 -4.83
16931.0 4104 37.5 -26.17
16994.0 4104 37.51 -26.15
16962.0 131328 19.27 -4.87
17056.0 4104 37.71 -26.22
17118.0 4104 37.56 -26.18
17025.0 131328 19.29 -4.91
17087.0 131328 19.13 -4.87
17181.0 4104 37.48 -26.25
17150.0 131328 19.25 -4.99
17212.0 131328 19.21 -4.89
17243.0 4104 37.64 -26.23
17274.0 131328 19.28 -4.97
17306.0 4104 37.54 -26.25
17368.0 4104 37.62 -26.43
17337.0 131328 19.25 -4.94
17399.0 131328 19.22 -4.86
17430.0 4104 37.54 -26.37
17493.0 4104 37.53 -26.27
17461.0 131328 19.17 -4.99
17524.0 131328 19.25 -4.93
17555.0 4104 37.56 -26.25
17617.0 4104 37.55 -26.45
17586.0 131328 19.25 -4.79
17649.0 131328 19.17 -4.96
17680.0 4104 37.69 -26.26
17711.0 131328 19.22 -4.8
17742.0 4104 37.62 -26.35
17773.0 131328 19.25 -4.9
17805.0 4104 37.57 -26.31
17867.0 4104 37.58 -26.23
17836.0 131328 19.18 -4.91
17898.0 131328 19.23 -4.95
17929.0 4104 37.64 -26.26
17961.0 131328 19.21 -4.9
17992.0 4104 37.46 -26.25
18023.0 131328 19.12 -4.97
18054.0 4104 37.56 -26.31
18116.0 4104 37.61 -26.39
18085.0 131328 19.2 -4.92
18179.0 4104 37.64 -26.4
18148.0 131328 19.17 -4.91
18241.0 4104 37.65 -26.25
18210.0 131328 19.1 -5.03
18304.0 4104 37.52 -26.23
18366.0 4104 37.4 -26.15
18272.0 131328 19.22 -4.89
18335.0 131328 19.14 -4.93
18397.0 131328 19.25 -4.99
18428.0 4104 37.61 -26.27
18491.0 4104 37.53 -26.11
18460.0 131328 19.25 -4.89
18553.0 4104 37.58 -26.2
18522.0 131328 19.24 -5.01
18584.0 131328 19.11 -5.01
18615.0 4104 37.59 -26.27
18678.0 4104 37.56 -26.39
18647.0 131328 19.2 -4.97
18740.0 4104 37.6 -26.48
18709.0 131328 19.16 -4.98
18803.0 4104 37.64 -26.24
18771.0 131328 19.17 -5.01
18865.0 4104 37.53 -26.28
18834.0 131328 19.17 -4.91
18927.0 4104 37.47 -26.43
18896.0 131328 19.14 -5.05
18959.0 131328 19.1 -5.03
18990.0 4104 37.64 -26.23
19052.0 4104 37.42 -26.21
19021.0 131328 19.35 -4.89
19083.0 131328 19.25 -4.89
19115.0 4104 37.48 -26.19
19146.0 131328 19.17 -5.01
19177.0 4104 37.62 -26.25
19239.0 4104 37.53 -26.21
19208.0 131328 19.26 -4.85
19270.0 131328 19.25 -4.92
19364.0 4104 37.56 -26.23
19333.0 131328 19.22 -4.73
19395.0 131328 19.2 -4.96
19426.0 4104 37.63 -26.41
19489.0 4104 37.62 -26.42
19458.0 131328 19.25 -4.83
19520.0 131328 19.08 -5.11
19614.0 4104 37.6 -26.37
19676.0 4104 37.63 -26.27
19582.0 131328 19.06 -5.12
19645.0 131328 19.14 -4.93
19707.0 131328 19.31 -4.84
19738.0 4104 37.55 -26.21
