frq I Q
4104.00 509915.00 -84771.00
131328.00 471099.00 -523854.00
4104.00 509751.00 -84178.00
131328.00 464341.00 -523856.00
4104.00 510145.00 -84148.00
131328.00 449115.00 -523275.00
4104.00 510619.00 -82386.00
131328.00 453588.00 -524288.00
4104.00 510270.00 -82082.00
131328.00 469272.00 -524288.00
4104.00 508928.00 -88963.00
131328.00 455479.00 -523821.00
4104.00 509967.00 -84129.00
131328.00 446286.00 -524288.00
4104.00 510376.00 -84098.00
131328.00 456639.00 -524288.00
4104.00 509980.00 -86564.00
131328.00 473153.00 -522685.00
4104.00 509514.00 -84266.00
131328.00 462269.00 -523992.00
4104.00 509676.00 -85207.00
131328.00 471249.00 -523925.00
4104.00 509412.00 -84558.00
131328.00 474120.00 -524207.00
4104.00 509837.00 -84518.00
131328.00 453606.00 -524103.00
4104.00 509466.00 -86365.00
131328.00 445626.00 -524288.00
4104.00 510391.00 -85214.00
131328.00 446791.00 -524198.00
4104.00 510432.00 -84029.00
131328.00 463613.00 -524288.00
4104.00 510244.00 -83974.00
131328.00 450683.00 -523966.00
4104.00 510505.00 -84734.00
131328.00 449214.00 -524288.00
4104.00 510284.00 -84615.00
131328.00 444729.00 -523705.00
4104.00 510651.00 -85003.00
131328.00 451891.00 -524288.00
4104.00 510436.00 -84058.00
131328.00 457079.00 -524288.00
4104.00 509311.00 -90375.00
131328.00 452191.00 -524092.00
4104.00 510479.00 -94538.00
131328.00 466666.00 -523964.00
4104.00 510050.00 -83241.00
131328.00 449856.00 -523798.00
4104.00 510384.00 -84186.00
131328.00 458132.00 -524123.00
4104.00 509862.00 -84812.00
131328.00 464376.00 -524082.00
4104.00 509714.00 -84188.00
131328.00 469229.00 -524288.00
4104.00 510094.00 -83777.00
131328.00 459275.00 -524288.00
4104.00 510038.00 -86851.00
131328.00 467988.00 -523502.00
4104.00 509359.00 -90404.00
131328.00 446152.00 -523750.00
4104.00 510390.00 -86185.00
131328.00 448074.00 -523987.00
4104.00 510532.00 -84509.00
131328.00 448053.00 -523874.00
4104.00 510672.00 -85159.00
131328.00 450264.00 -523910.00
4104.00 510342.00 -83409.00
131328.00 445938.00 -523614.00
4104.00 510275.00 -89538.00
131328.00 466205.00 -524288.00
4104.00 509799.00 -84672.00
131328.00 443242.00 -524288.00
4104.00 510823.00 -80227.00
131328.00 450239.00 -523913.00
4104.00 509209.00 -90231.00
131328.00 445474.00 -523743.00
4104.00 510414.00 -83998.00
131328.00 453774.00 -524288.00
4104.00 509813.00 -84250.00
131328.00 454634.00 -524090.00
4104.00 510343.00 -84178.00
131328.00 465963.00 -524288.00
