frq I Q Mdiv Ref dac Kdiv
4104.00 6391.00 3885.00 1082130432 32768 128 32
131328.00 34.00 -17609.00 1082130432 32768 128 1
4104.00 6112.00 9593.00 1082130432 32768 128 32
131328.00 270.00 -17616.00 1082130432 32768 128 1
4104.00 3025.00 6824.00 1082130432 32768 128 32
131328.00 -785.00 -16164.00 1082130432 32768 128 1
4104.00 7515.00 5201.00 1082130432 32768 128 32
131328.00 -399.00 -15419.00 1082130432 32768 128 1
4104.00 6464.00 7771.00 1082130432 32768 128 32
131328.00 -137.00 -17652.00 1082130432 32768 128 1
4104.00 7395.00 5848.00 1082130432 32768 128 32
131328.00 -951.00 -16149.00 1082130432 32768 128 1
4104.00 6473.00 6106.00 1082130432 32768 128 32
131328.00 -629.00 -16179.00 1082130432 32768 128 1
4104.00 7727.00 7298.00 1082130432 32768 128 32
131328.00 -658.00 -17547.00 1082130432 32768 128 1
4104.00 5086.00 3991.00 1082130432 32768 128 32
131328.00 -1483.00 -16836.00 1082130432 32768 128 1
4104.00 6169.00 3927.00 1082130432 32768 128 32
131328.00 -327.00 -18034.00 1082130432 32768 128 1
4104.00 7780.00 6071.00 1082130432 32768 128 32
131328.00 -598.00 -16766.00 1082130432 32768 128 1
4104.00 4118.00 8079.00 1082130432 32768 128 32
131328.00 -30.00 -16316.00 1082130432 32768 128 1
4104.00 5974.00 5877.00 1082130432 32768 128 32
131328.00 -906.00 -16501.00 1082130432 32768 128 1
4104.00 5900.00 6416.00 1082130432 32768 128 32
131328.00 -275.00 -17435.00 1082130432 32768 128 1
4104.00 6814.00 5283.00 1082130432 32768 128 32
131328.00 689.00 -17638.00 1082130432 32768 128 1
4104.00 6377.00 6403.00 1082130432 32768 128 32
131328.00 -20.00 -16317.00 1082130432 32768 128 1
4104.00 7882.00 7320.00 1082130432 32768 128 32
131328.00 -1793.00 -16596.00 1082130432 32768 128 1
4104.00 5278.00 4024.00 1082130432 32768 128 32
131328.00 -1219.00 -16525.00 1082130432 32768 128 1
4104.00 7725.00 5253.00 1082130432 32768 128 32
131328.00 -772.00 -16544.00 1082130432 32768 128 1
4104.00 6786.00 8042.00 1082130432 32768 128 32
131328.00 1012.00 -17740.00 1082130432 32768 128 1
4104.00 4944.00 4962.00 1082130432 32768 128 32
131328.00 -989.00 -16160.00 1082130432 32768 128 1
4104.00 5020.00 4425.00 1082130432 32768 128 32
131328.00 -1058.00 -16630.00 1082130432 32768 128 1
4104.00 7489.00 4757.00 1082130432 32768 128 32
131328.00 -97.00 -15820.00 1082130432 32768 128 1
4104.00 4722.00 5091.00 1082130432 32768 128 32
131328.00 -539.00 -16263.00 1082130432 32768 128 1
4104.00 6512.00 8195.00 1082130432 32768 128 32
131328.00 -1.00 -17414.00 1082130432 32768 128 1
4104.00 6058.00 8675.00 1082130432 32768 128 32
131328.00 858.00 -17291.00 1082130432 32768 128 1
4104.00 7585.00 6402.00 1082130432 32768 128 32
131328.00 -1309.00 -15986.00 1082130432 32768 128 1
4104.00 5364.00 6556.00 1082130432 32768 128 32
131328.00 268.00 -17523.00 1082130432 32768 128 1
4104.00 6978.00 6101.00 1082130432 32768 128 32
131328.00 -1009.00 -16184.00 1082130432 32768 128 1
4104.00 4399.00 7008.00 1082130432 32768 128 32
131328.00 -723.00 -16075.00 1082130432 32768 128 1
4104.00 6859.00 5261.00 1082130432 32768 128 32
131328.00 -796.00 -16021.00 1082130432 32768 128 1
4104.00 3057.00 6708.00 1082130432 32768 128 32
131328.00 -445.00 -15621.00 1082130432 32768 128 1
4104.00 7667.00 5229.00 1082130432 32768 128 32
131328.00 -613.00 -16222.00 1082130432 32768 128 1
4104.00 6604.00 5606.00 1082130432 32768 128 32
131328.00 2.00 -16262.00 1082130432 32768 128 1
4104.00 6459.00 5230.00 1082130432 32768 128 32
131328.00 -1295.00 -16819.00 1082130432 32768 128 1
4104.00 6597.00 4140.00 1082130432 32768 128 32
131328.00 335.00 -17708.00 1082130432 32768 128 1
4104.00 6255.00 4793.00 1082130432 32768 128 32
131328.00 -649.00 -17548.00 1082130432 32768 128 1
4104.00 5847.00 4069.00 1082130432 32768 128 32
131328.00 -1117.00 -17305.00 1082130432 32768 128 1
4104.00 7171.00 5129.00 1082130432 32768 128 32
131328.00 518.00 -16732.00 1082130432 32768 128 1
4104.00 6230.00 5938.00 1082130432 32768 128 32
131328.00 -1221.00 -16369.00 1082130432 32768 128 1
4104.00 7596.00 7179.00 1082130432 32768 128 32
131328.00 -776.00 -17974.00 1082130432 32768 128 1
4104.00 6634.00 6714.00 1082130432 32768 128 32
131328.00 -920.00 -17553.00 1082130432 32768 128 1
4104.00 5543.00 7874.00 1082130432 32768 128 32
131328.00 1092.00 -17734.00 1082130432 32768 128 1
4104.00 6290.00 5103.00 1082130432 32768 128 32
131328.00 -773.00 -17597.00 1082130432 32768 128 1
4104.00 7651.00 5519.00 1082130432 32768 128 32
131328.00 -202.00 -16279.00 1082130432 32768 128 1
4104.00 6077.00 4436.00 1082130432 32768 128 32
131328.00 -1013.00 -17712.00 1082130432 32768 128 1
4104.00 6647.00 4924.00 1082130432 32768 128 32
131328.00 257.00 -16447.00 1082130432 32768 128 1
4104.00 6700.00 6265.00 1082130432 32768 128 32
131328.00 -551.00 -17384.00 1082130432 32768 128 1
4104.00 6375.00 5714.00 1082130432 32768 128 32
131328.00 -646.00 -15791.00 1082130432 32768 128 1
4104.00 6147.00 5541.00 1082130432 32768 128 32
131328.00 78.00 -17685.00 1082130432 32768 128 1
4104.00 3523.00 5255.00 1082130432 32768 128 32
131328.00 -1267.00 -16144.00 1082130432 32768 128 1
4104.00 5963.00 6552.00 1082130432 32768 128 32
131328.00 -56.00 -17526.00 1082130432 32768 128 1
4104.00 6101.00 4723.00 1082130432 32768 128 32
131328.00 -863.00 -17085.00 1082130432 32768 128 1
4104.00 7005.00 6156.00 1082130432 32768 128 32
131328.00 -1243.00 -16517.00 1082130432 32768 128 1
4104.00 5585.00 8781.00 1082130432 32768 128 32
131328.00 252.00 -16996.00 1082130432 32768 128 1
4104.00 6853.00 7272.00 1082130432 32768 128 32
131328.00 455.00 -17759.00 1082130432 32768 128 1
4104.00 3714.00 7103.00 1082130432 32768 128 32
131328.00 -932.00 -16266.00 1082130432 32768 128 1
4104.00 7263.00 5927.00 1082130432 32768 128 32
131328.00 -1281.00 -16403.00 1082130432 32768 128 1
4104.00 6031.00 4857.00 1082130432 32768 128 32
131328.00 -996.00 -17622.00 1082130432 32768 128 1
4104.00 5521.00 3702.00 1082130432 32768 128 32
131328.00 -404.00 -18362.00 1082130432 32768 128 1
4104.00 5042.00 8754.00 1082130432 32768 128 32
131328.00 649.00 -16881.00 1082130432 32768 128 1
4104.00 7625.00 7649.00 1082130432 32768 128 32
131328.00 -1002.00 -17539.00 1082130432 32768 128 1
4104.00 6610.00 5323.00 1082130432 32768 128 32
131328.00 -231.00 -16467.00 1082130432 32768 128 1
4104.00 5589.00 8527.00 1082130432 32768 128 32
131328.00 656.00 -17542.00 1082130432 32768 128 1
4104.00 3296.00 5958.00 1082130432 32768 128 32
131328.00 -786.00 -16312.00 1082130432 32768 128 1
4104.00 6134.00 4358.00 1082130432 32768 128 32
131328.00 -856.00 -17585.00 1082130432 32768 128 1
4104.00 7313.00 5787.00 1082130432 32768 128 32
131328.00 -1073.00 -16388.00 1082130432 32768 128 1
4104.00 6980.00 6317.00 1082130432 32768 128 32
131328.00 -1290.00 -17189.00 1082130432 32768 128 1
4104.00 6880.00 7567.00 1082130432 32768 128 32
131328.00 -389.00 -16989.00 1082130432 32768 128 1
4104.00 4442.00 7287.00 1082130432 32768 128 32
131328.00 -436.00 -16250.00 1082130432 32768 128 1
4104.00 5730.00 4756.00 1082130432 32768 128 32
131328.00 -817.00 -17600.00 1082130432 32768 128 1
4104.00 4160.00 4071.00 1082130432 32768 128 32
131328.00 -1308.00 -16340.00 1082130432 32768 128 1
4104.00 4887.00 3789.00 1082130432 32768 128 32
131328.00 -1016.00 -16466.00 1082130432 32768 128 1
4104.00 7314.00 5788.00 1082130432 32768 128 32
131328.00 -969.00 -15995.00 1082130432 32768 128 1
4104.00 6282.00 7235.00 1082130432 32768 128 32
131328.00 -332.00 -17609.00 1082130432 32768 128 1
4104.00 7325.00 7139.00 1082130432 32768 128 32
131328.00 -727.00 -17522.00 1082130432 32768 128 1
4104.00 6102.00 5956.00 1082130432 32768 128 32
131328.00 -958.00 -15923.00 1082130432 32768 128 1
4104.00 6772.00 5682.00 1082130432 32768 128 32
131328.00 522.00 -16914.00 1082130432 32768 128 1
4104.00 6143.00 5840.00 1082130432 32768 128 32
131328.00 -1304.00 -16076.00 1082130432 32768 128 1
4104.00 5306.00 8470.00 1082130432 32768 128 32
131328.00 717.00 -16913.00 1082130432 32768 128 1
4104.00 6908.00 6898.00 1082130432 32768 128 32
131328.00 909.00 -17547.00 1082130432 32768 128 1
4104.00 6704.00 9003.00 1082130432 32768 128 32
131328.00 15.00 -17983.00 1082130432 32768 128 1
4104.00 6465.00 6107.00 1082130432 32768 128 32
131328.00 -532.00 -17518.00 1082130432 32768 128 1
4104.00 5344.00 4455.00 1082130432 32768 128 32
131328.00 -965.00 -16821.00 1082130432 32768 128 1
