frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
4104.0,5680.0,9023.0,1082130432,32768,128,32,6554.231292517006,8980.319727891156,196.2619986889353,8.824453573149825,196.4602837986353,2.5744344111683697
4104.0,8245.0,6068.0,1082130432,32768,128,32,9119.231292517006,6025.319727891157,184.09596262135338,-58.94832466723349,193.30346203458518,-17.755290860926813
4104.0,6162.0,5847.0,1082130432,32768,128,32,7036.231292517006,5804.319727891157,157.93361437026775,-32.76409165800416,161.29634915344656,-11.720039916369416
4104.0,6155.0,4612.0,1082130432,32768,128,32,7029.231292517006,4569.319727891157,140.87117007643604,-46.26481045081715,148.2737982408025,-18.181178109471325
4104.0,7430.0,5474.0,1082130432,32768,128,32,8304.231292517006,5431.319727891157,166.8796297115746,-54.29113980060224,175.48885626592016,-18.021320179644604
4104.0,5455.0,3788.0,1082130432,32768,128,32,6329.231292517006,3745.3197278911566,121.76827987267781,-45.71977072340977,130.06848741394646,-20.57941743685797
4104.0,7640.0,6875.0,1082130432,32768,128,32,8514.231292517006,6832.319727891157,188.47850606470055,-41.751744865387366,193.04754711647016,-12.490457026696564
4104.0,5625.0,8178.0,1082130432,32768,128,32,6499.231292517006,8135.319727891157,184.03031750558586,0.27693854312641975,184.03052588134233,0.08622165055764056
4104.0,6275.0,4900.0,1082130432,32768,128,32,7149.231292517006,4857.319727891157,146.16408006396253,-44.74266180969696,152.85890254336306,-17.020007947777476
4104.0,6804.0,6621.0,1082130432,32768,128,32,7678.231292517006,6578.319727891157,175.7050167218006,-33.06277789378984,178.788702616419,-10.656850114513652
4104.0,4971.0,4020.0,1082130432,32768,128,32,5845.231292517006,3977.3197278911566,119.58614627654038,-36.51608832982815,125.03707885337822,-16.98025187284047
4104.0,6837.0,4942.0,1082130432,32768,128,32,7711.231292517006,4899.319727891157,152.98035034747275,-52.001312021566626,161.57699107360503,-18.774002091857035
4104.0,3865.0,7193.0,1082130432,32768,128,32,4739.231292517006,7150.319727891157,150.94637065506151,13.612271472395108,151.5589019113473,5.152967570738976
4104.0,7280.0,5621.0,1082130432,32768,128,32,8154.231292517006,5578.319727891157,167.23617441735826,-50.61194505538035,174.72694988479,-16.83778571022707
